x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
2,1,1,2,3,1,4,1,3,2,1,3,1
3,1,2,2,3,1,4,1,4,2,2,3,1
4,2,2,2,3,1,3,1,3,1,2,3,1
5,2,1,2,2,1,4,1,2,1,2,3,1
6,1,1,2,2,1,4,1,4,1,1,4,1
7,1,2,2,3,1,5,1,4,2,2,3,1
8,1,2,2,2,1,5,1,3,2,1,3,1
9,2,2,2,3,1,4,1,3,2,2,3,1
10,1,2,2,4,1,5,1,4,1,2,2,1
11,1,2,2,3,1,4,1,5,1,2,3,1
12,2,2,2,3,2,3,2,3,3,2,4,1
13,1,1,2,1,2,4,1,1,3,2,4,1
14,2,2,1,4,2,3,1,3,2,2,4,1
15,1,2,2,3,1,4,1,1,2,2,2,1
16,1,1,1,3,2,4,2,2,1,2,3,1
17,1,2,2,3,1,4,1,2,2,2,3,1
18,2,1,1,3,2,3,2,3,3,2,4,-1
19,2,2,2,3,1,4,1,4,1,2,3,1
20,1,2,2,4,1,4,1,5,1,2,2,1
21,1,2,2,2,1,4,1,3,2,2,4,-1
22,1,2,2,2,1,5,1,3,3,2,3,1
23,1,2,2,3,1,3,1,1,3,2,1,1
24,1,1,2,4,1,5,1,4,1,2,4,1
25,1,2,2,3,1,4,1,4,2,2,4,1
26,2,1,2,3,1,4,1,3,2,2,4,1
27,1,2,1,2,2,3,2,3,1,2,4,1
28,1,1,2,3,2,4,1,3,1,2,3,1
29,1,2,1,3,2,5,2,3,2,1,3,1
30,2,1,2,4,1,5,1,3,1,1,3,1
31,1,2,2,3,1,4,1,2,2,2,4,1
32,1,2,2,3,1,3,1,3,2,2,3,1
33,2,2,2,2,2,4,1,3,2,2,4,1
34,2,1,1,3,2,3,1,2,3,2,4,1
35,1,2,2,2,1,4,1,2,1,2,3,1
36,1,1,2,3,1,3,1,3,1,2,3,-1
37,2,2,2,3,1,3,1,2,2,1,3,1
38,1,1,2,3,1,4,1,3,1,2,4,1
39,1,1,2,3,1,4,1,3,2,2,3,1
40,1,2,2,3,2,3,2,3,2,2,5,1
41,1,1,2,2,1,3,1,3,2,2,2,1
42,1,2,2,3,1,4,1,4,2,2,4,1
43,1,2,2,3,1,4,1,4,1,2,2,1
44,1,2,2,3,2,3,2,3,1,2,3,1
45,1,1,2,3,2,4,1,4,1,2,4,1
46,1,1,2,4,2,5,1,4,2,2,3,1
47,1,1,2,2,1,4,1,3,2,2,4,1
