classifier_name,dataset_name,accuracy
AE-ELM-SynMin,dataset1,0.755
AE-ELM-SynMin,dataset2,0.79
AE-ELM-SynMin,dataset3,0.586
AE-ELM-SynMin,dataset4,0.773
AE-ELM-SynMin,dataset5,0.564
AE-ELM-SynMin,dataset6,0.712
AE-ELM-SynMin,dataset7,0.635
AE-ELM-SynMin,dataset8,0.466
AE-ELM-SynMin,dataset9,0.116
AE-ELM-SynMin,dataset10,0.252
AE-ELM-SynMin,dataset11,0.376
AE-ELM-SynMin,dataset12,0.692
AE-ELM-SynMin,dataset13,0.427
AE-ELM-SynMin,dataset14,0.766
AE-ELM-SynMin,dataset15,0.867
AE-ELM-SynMin,dataset16,0.403
AE-ELM-SynMin,dataset17,0.723
AE-ELM-SynMin,dataset18,0.999
AE-ELM-SynMin,dataset19,0.966
AE-ELM-SynMin,dataset20,0.985
AE-ELM-SynMin,dataset21,0.991
AE-ELM-SynMin,dataset22,0.95
AE-ELM-SynMin,dataset23,0.836
AE-ELM-SynMin,dataset24,0.915
AE-ELM-SynMin,dataset25,0.425
AE-ELM-SynMin,dataset26,0.07
AE-ELM-SynMin,dataset27,0.932
AE-ELM-SynMin,dataset28,0.424
AE-ELM-SynMin,dataset29,0.589
AE-ELM-SynMin,dataset30,0.67
AE-ELM-SynMin,dataset31,0.521
AE-ELM-SynMin,dataset32,0.909
AE-ELM-SynMin,dataset33,0.662
AE-ELM-SynMin,dataset34,0.827
AE-ELM-SynMin,dataset35,0.497
AE-ELM-SynMin,dataset36,0.662
Regular-SMOTE,dataset1,0.744
Regular-SMOTE,dataset2,0.774
Regular-SMOTE,dataset3,0.579
Regular-SMOTE,dataset4,0.776
Regular-SMOTE,dataset5,0.543
Regular-SMOTE,dataset6,0.691
Regular-SMOTE,dataset7,0.679
Regular-SMOTE,dataset8,0.442
Regular-SMOTE,dataset9,0.132
Regular-SMOTE,dataset10,0.229
Regular-SMOTE,dataset11,0.207
Regular-SMOTE,dataset12,0.722
Regular-SMOTE,dataset13,0.428
Regular-SMOTE,dataset14,0.709
Regular-SMOTE,dataset15,0.832
Regular-SMOTE,dataset16,0.459
Regular-SMOTE,dataset17,0.66
Regular-SMOTE,dataset18,0.999
Regular-SMOTE,dataset19,0.941
Regular-SMOTE,dataset20,0.984
Regular-SMOTE,dataset21,0.99
Regular-SMOTE,dataset22,0.947
Regular-SMOTE,dataset23,0.795
Regular-SMOTE,dataset24,0.9
Regular-SMOTE,dataset25,0.378
Regular-SMOTE,dataset26,0.061
Regular-SMOTE,dataset27,0.927
Regular-SMOTE,dataset28,0.362
Regular-SMOTE,dataset29,0.564
Regular-SMOTE,dataset30,0.732
Regular-SMOTE,dataset31,0.494
Regular-SMOTE,dataset32,0.89
Regular-SMOTE,dataset33,0.674
Regular-SMOTE,dataset34,0.812
Regular-SMOTE,dataset35,0.488
