classifier_name,dataset_name,accuracy
DO-RVFL-NBC,dataset1,0.821
DO-RVFL-NBC,dataset2,0.769
DO-RVFL-NBC,dataset3,0.649
DO-RVFL-NBC,dataset4,0.854
DO-RVFL-NBC,dataset5,0.897
DO-RVFL-NBC,dataset6,0.973
DO-RVFL-NBC,dataset7,0.931
DO-RVFL-NBC,dataset8,0.981
DO-RVFL-NBC,dataset9,0.999
DO-RVFL-NBC,dataset10,0.979
DO-RVFL-NBC,dataset11,0.978
DO-RVFL-NBC,dataset12,0.983
DO-RVFL-NBC,dataset13,0.997
DO-RVFL-NBC,dataset14,0.989
DO-RVFL-NBC,dataset15,0.946
DO-RVFL-NBC,dataset16,0.968
DO-RVFL-NBC,dataset17,0.999
DO-RVFL-NBC,dataset18,0.781
DO-RVFL-NBC,dataset19,0.932
DO-RVFL-NBC,dataset20,0.999
DO-RVFL-NBC,dataset21,0.824
DO-RVFL-NBC,dataset22,0.832
RVFL,dataset1,0.789
RVFL,dataset2,0.748
RVFL,dataset3,0.634
RVFL,dataset4,0.819
RVFL,dataset5,0.788
RVFL,dataset6,0.951
RVFL,dataset7,0.898
RVFL,dataset8,0.953
RVFL,dataset9,0.975
RVFL,dataset10,0.947
RVFL,dataset11,0.947
RVFL,dataset12,0.986
RVFL,dataset13,0.989
RVFL,dataset14,0.937
RVFL,dataset15,0.873
RVFL,dataset16,0.892
RVFL,dataset17,0.999
RVFL,dataset18,0.598
RVFL,dataset19,0.967
RVFL,dataset20,0.999
RVFL,dataset21,0.796
RVFL,dataset22,0.809
NBC,dataset1,0.713
NBC,dataset2,0.708
NBC,dataset3,0.593
NBC,dataset4,0.793
NBC,dataset5,0.679
NBC,dataset6,0.91
NBC,dataset7,0.792
NBC,dataset8,0.69
NBC,dataset9,0.893
NBC,dataset10,0.931
NBC,dataset11,0.918
NBC,dataset12,0.785
NBC,dataset13,0.794
NBC,dataset14,0.881
NBC,dataset15,0.827
NBC,dataset16,0.764
NBC,dataset17,0.936
NBC,dataset18,0.529
NBC,dataset19,0.826
NBC,dataset20,0.967
NBC,dataset21,0.558
NBC,dataset22,0.488
RVFL-NBC,dataset1,0.778
RVFL-NBC,dataset2,0.739
RVFL-NBC,dataset3,0.652
RVFL-NBC,dataset4,0.803
RVFL-NBC,dataset5,0.761
RVFL-NBC,dataset6,0.948
RVFL-NBC,dataset7,0.911
RVFL-NBC,dataset8,0.955
RVFL-NBC,dataset9,0.948
RVFL-NBC,dataset10,0.988
RVFL-NBC,dataset11,0.969
RVFL-NBC,dataset12,0.962
RVFL-NBC,dataset13,0.984
RVFL-NBC,dataset14,0.923
RVFL-NBC,dataset15,0.855
RVFL-NBC,dataset16,0.883
RVFL-NBC,dataset17,0.986
RVFL-NBC,dataset18,0.625
RVFL-NBC,dataset19,0.898
RVFL-NBC,dataset20,0.999
RVFL-NBC,dataset21,0.765
RVFL-NBC,dataset22,0.788
RVFL-OH,dataset1,0.811
RVFL-OH,dataset2,0.756
RVFL-OH,dataset3,0.616
RVFL-OH,dataset4,0.822
RVFL-OH,dataset5,0.812
RVFL-OH,dataset6,0.966
RVFL-OH,dataset7,0.969
RVFL-OH,dataset8,0.949
RVFL-OH,dataset9,0.971
RVFL-OH,dataset10,0.966
RVFL-OH,dataset11,0.951
RVFL-OH,dataset12,0.875
RVFL-OH,dataset13,0.999
RVFL-OH,dataset14,0.933
RVFL-OH,dataset15,0.879
RVFL-OH,dataset16,0.921
RVFL-OH,dataset17,0.999
RVFL-OH,dataset18,0.843
RVFL-OH,dataset19,0.999
RVFL-OH,dataset20,0.999
RVFL-OH,dataset21,0.778
RVFL-OH,dataset22,0.831
SVM-OH,dataset1,0.744
SVM-OH,dataset2,0.72
SVM-OH,dataset3,0.593
SVM-OH,dataset4,0.762
SVM-OH,dataset5,0.71
SVM-OH,dataset6,0.955
SVM-OH,dataset7,0.825
SVM-OH,dataset8,0.888
SVM-OH,dataset9,0.951
SVM-OH,dataset10,0.89
SVM-OH,dataset11,0.928
SVM-OH,dataset12,0.848
SVM-OH,dataset13,0.839
SVM-OH,dataset14,0.883
SVM-OH,dataset15,0.963
SVM-OH,dataset16,0.798
SVM-OH,dataset17,0.948
SVM-OH,dataset18,0.584
SVM-OH,dataset19,0.912
SVM-OH,dataset20,0.963
SVM-OH,dataset21,0.595
SVM-OH,dataset22,0.515
NN-OH,dataset1,0.786
NN-OH,dataset2,0.751
NN-OH,dataset3,0.618
NN-OH,dataset4,0.873
NN-OH,dataset5,0.999
